Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	TPA_HF.pEF_U10.1	TPA_HF.pEF_U10.2	TPA_HF.pEF_U11.1	TPA_HF.pEF_U11.2	TPA_HF.pEF_U16.1	TPA_HF.pEF_U16.2	TPA_HF.pEF_U2.1	TPA_HF.pEF_U2.2	TPA_HF.pEF_U24.1	TPA_HF.pEF_U24.2	TPA_HF.pEF_U4.1	TPA_HF.pEF_U4.2	TPA_HF.pEF_U5.1	TPA_HF.pEF_U5.2	TPA_HF.pEF_U8.1	TPA_HF.pEF_U8.2	TPA_HF.pEF_U9.1	TPA_HF.pEF_U9.2	TPA_HF.rEF_U30.1	TPA_HF.rEF_U30.2	TPA_HF.rEF_U34.1	TPA_HF.rEF_U34.2	TPA_HF.rEF_U37.1	TPA_HF.rEF_U37.2	TPA_HF.rEF_U39.1	TPA_HF.rEF_U39.2	TPA_HF.rEF_U42.1	TPA_HF.rEF_U42.2	TPA_HF.rEF_U46.1	TPA_HF.rEF_U46.2	TPA_HF.rEF_U48.1	TPA_HF.rEF_U48.2	TPA_HF.rEF_U53.1	TPA_HF.rEF_U53.2	TPA_Ctrl_U57.1	TPA_Ctrl_U57.2	TPA_Ctrl_U59.1	TPA_Ctrl_U59.2	TPA_Ctrl_U60.1	TPA_Ctrl_U60.2	TPA_Ctrl_U62.1	TPA_Ctrl_U62.2	TPA_Ctrl_U64.1	TPA_Ctrl_U64.2	TPA_Ctrl_U65.1	TPA_Ctrl_U65.2	TPA_Ctrl_U66.1	TPA_Ctrl_U66.2	TPA_Ctrl_U67.1	TPA_Ctrl_U67.2	TPA_Ctrl_U68.1	TPA_Ctrl_U68.2	TPA_Ctrl_U71.1	TPA_Ctrl_U71.2
"P27824-2;A0A7P0T9L0;A0A7P0TAE9;A0A7P0T840;A0A7P0T937;A0A7P0TB65;A0A7P0T8G1;A0A7P0Z4D6;P27824;D6RGY2;P27824-3;A0A7P0Z4H2;A0A7P0TAR9;A0A7P0Z484;D6RAQ8;A0A7P0TAN9;A0A7P0T8N1;D6RAU8;D6RFL1;D6RD16"	"P27824-2;A0A7P0T9L0;A0A7P0TAE9;A0A7P0T840;A0A7P0T937;A0A7P0TB65;A0A7P0T8G1;A0A7P0Z4D6;P27824;D6RGY2;P27824-3;A0A7P0Z4H2;A0A7P0TAR9;A0A7P0Z484"	"4;4;4;4;4;4;4;4;4;3;3;2;2;2;1;1;1;1;1;1"	"4;4;4;4;4;4;4;4;4;3;3;2;2;2;1;1;1;1;1;1"	"4;4;4;4;4;4;4;4;4;3;3;2;2;2;1;1;1;1;1;1"	Calnexin	CANX	0	0.554359521	1.800750632	1.827994951	0	0	0	0	0	0	0.355107603	0.487841788	0	0	0	0	0	0	0	0.379061019	0.490270259	0.524719635	0.429203434	0.683877521	1.141990743	0.621500723	0.706143352	0.891317362	1.043404202	0.648220605	0.324904187	0.289787532	0.88002383	0.310477868	0	0	0	0.885540802	0	0	0	0	0	0.257481741	0	0	0.527535003	0.557240816	0	0.40733275	0.945382252	1.014390295	1.371035827	0.943309933
Q5T750	Q5T750	2	2	2	Skin-specific protein 32	XP32	0	0	0	0	0	0	0	0	0	0	0	0	1.267093709	1.451634052	1.22320031	1.170527625	0.775539331	0	1.164839672	0.919763962	3.119416137	3.414870403	0.878377712	0	1.365771343	0.840932473	0	0.883728014	12.04840296	11.6946093	1.438425927	1.486585931	0.893391348	0.852466596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A804HKV8;A0A804HKM7;A0A804HIQ0;A0A804HI59;A0A8C8KD64;P19021-2;P19021-4;P19021-3;P19021-6;P19021;P19021-5;H7BYD9"	"A0A804HKV8;A0A804HKM7;A0A804HIQ0;A0A804HI59;A0A8C8KD64;P19021-2;P19021-4;P19021-3;P19021-6;P19021;P19021-5;H7BYD9"	"3;3;3;3;3;3;3;3;3;3;3;2"	"3;3;3;3;3;3;3;3;3;3;3;2"	"3;3;3;3;3;3;3;3;3;3;3;2"	"Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase"	PAM	0.191259281	0	0	0	0	0	0	0	0	0.119164121	0	0	0.252179914	0	0.534832972	0.570652472	0	0	0.33722773	0.161699481	0.35738558	0.401393977	0.413893927	0.342766655	0.471858797	0.393004429	0	0.14063621	0	0	0.276982348	0.383208567	0.118901269	0	0	0	0.128211805	0	0	0.210742148	0	0	0	0	0.116485756	0	0	0	0.366898099	0	0.075117181	0	0.360128585	0.225089556
"F5H442;Q99816"	"F5H442;Q99816"	"3;3"	"3;3"	"3;3"	Tumor susceptibility gene 101 protein	TSG101	0	0	0	0	0	0	0	0	1.211600375	0.713685572	0	0.506887978	0.718618132	0	1.245544003	0	0	0	1.596140093	0.688704704	1.432070018	0	0.70915473	0	0	0.96347872	0.964375449	1.825964274	0	1.212879686	1.171601063	1.510949688	0.894647177	0.944882347	0.872945016	2.1409813	0	0	0	1.839429269	0	0	0	0	1.24985993	1.607002923	0	0	0	0	0	0	0	0
"H0Y4U3;A0A3B3ISU3;O75015;E9PNY5"	"H0Y4U3;A0A3B3ISU3;O75015;E9PNY5"	"4;4;4;2"	"4;4;4;2"	"2;2;2;2"	Low affinity immunoglobulin gamma Fc region receptor III-B	FCGR3B	1.67219243	2.014719916	1.218873538	0	0	0	0	1.471180639	1.90343791	2.309991686	0	0	0	0	0	1.561719349	0	0	6.133154993	5.026068767	1.529150087	1.502189544	1.477061778	1.583379666	2.920264435	1.844300611	1.925203018	2.403022024	2.529910495	2.802637668	1.975686766	1.769343638	1.937497017	1.859724785	2.119137909	4.002656045	1.760024805	5.194865115	0	0	8.209063338	8.212967525	0.386653564	0	0	2.987167789	0	1.669292817	5.078239004	1.32644267	1.553438852	0	6.124723393	5.292849564
"P07741;H3BQZ9;H3BQF1;P07741-2;H3BSW3;H3BQB1"	"P07741;H3BQZ9;H3BQF1;P07741-2"	"5;4;3;3;2;2"	"5;4;3;3;2;2"	"5;4;3;3;2;2"	Adenine phosphoribosyltransferase	APRT	1.516411388	1.216559365	4.159683529	2.647656358	0	0	0	0	0	0	0	0	1.588896118	0	3.906496833	2.35322968	0	0	2.694542642	2.005542505	1.950358095	1.389481659	2.662757771	1.31655125	1.023191918	0	2.450699369	2.533982514	0	0	1.386086941	1.297898522	2.434675171	2.7214239	1.196676151	1.106014517	0	0	4.86595886	0	0	0	0	0	0.80004747	1.104847094	0	0	3.027356599	0	1.609148159	0.691372613	1.551495615	0
CON__Q32PJ2	CON__Q32PJ2	2	2	2		CON__Q32PJ2	0	0	0	0	0	0	1.80455239	0	2.729935786	2.538945847	0	0	10.21397268	4.451438505	0	0	0.860853206	1.026355831	3.808580675	2.855014686	2.270418345	2.65349908	9.09269606	10.1410897	0	2.017554874	0	0.73760539	1.582658073	0	7.030995677	7.203076332	0.673439761	0.89745142	0	1.949204412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"E9PR90;E9PMI0;E9PQU7;Q6UX15-2;Q6UX15"	"E9PR90;E9PMI0;E9PQU7;Q6UX15-2;Q6UX15"	"3;3;3;3;3"	"3;3;3;3;3"	"3;3;3;3;3"	Layilin	LAYN	0	0	0	0	0	0	5.167987021	5.664936783	4.154046083	4.944139985	0	2.958669465	0	2.943297866	0	1.461014321	0	0	3.988767673	4.502237452	4.54926955	0	2.935924231	3.21871353	8.368610937	4.429297397	2.629784572	3.029687245	0	0	2.771688997	2.890137994	2.632923934	2.440767449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A2U3U034;P15848-2;P15848"	"A0A2U3U034;P15848-2;P15848"	"4;4;4"	"4;4;4"	"4;4;4"	Arylsulfatase B	ARSB	0	0	0	0	0	0	0.391914533	0	0	0	0	0	0.250045085	0.439925203	0.711809029	0.735947772	0.676084006	0.72014075	0.350772856	0.288489803	0.85968188	0.934030221	0.484014985	0.932224271	0.967680589	0.997807324	1.011858368	1.271659378	0.424703103	0	0	0	0.980852615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478143767	0.393063599
"Q96TA1-2;Q96TA1"	"Q96TA1-2;Q96TA1"	"8;8"	"8;8"	"8;8"	Niban-like protein 1	FAM129B	0.473585787	0.461366058	3.228204826	4.737031437	0	0	0	0.273338182	0	0	0	0	0	0	0.162302617	0	0.270217934	0.279518965	0.436368899	0.304387637	0.268124614	0.226109447	0.67183781	0.853487731	0.124066745	0.073579054	2.12384249	2.590690681	0.466048224	0.554667114	0.302240716	0.269422208	2.074465337	2.181167944	0	0	0.11716667	0.301529701	1.455149072	0.08333859	0.188431876	0.405397166	0	0	0.348498858	0.484342022	0	0.254734506	3.400518645	1.056046623	0.261131083	0.241476364	0	0.209614623
