Gene names	LFQ_Ctrl_U57_GC1_01_2070	LFQ_Ctrl_U57_GC1_01_2071	LFQ_Ctrl_U59_GC2_01_2072	LFQ_Ctrl_U59_GC2_01_2076	LFQ_Ctrl_U60_GA7_01_2029	LFQ_Ctrl_U60_GA7_01_2030	LFQ_Ctrl_U62_GA8_01_2031	LFQ_Ctrl_U62_GA8_01_2032	LFQ_Ctrl_U64_GC3_01_2078	LFQ_Ctrl_U64_GC3_01_2079	LFQ_Ctrl_U65_GB1_01_2033	LFQ_Ctrl_U65_GB1_01_2034	LFQ_Ctrl_U66_GB2_01_2035	LFQ_Ctrl_U66_GB2_01_2036	LFQ_Ctrl_U67_GC4_01_2081	LFQ_Ctrl_U67_GC4_01_2082	LFQ_Ctrl_U68_GC5_01_2083	LFQ_Ctrl_U68_GC5_01_2084	LFQ_Ctrl_U71_GB3_01_2037	LFQ_Ctrl_U71_GB3_01_2038	LFQ_HF.pEF_U10_GA3_01_2050	LFQ_HF.pEF_U10_GA3_01_2051	LFQ_HF.pEF_U11_GA4_01_2052	LFQ_HF.pEF_U11_GA4_01_2053	LFQ_HF.pEF_U16_GA6_01_2026	LFQ_HF.pEF_U16_GA6_01_2027	LFQ_HF.pEF_U2_GA2_01_2018	LFQ_HF.pEF_U2_GA2_01_2019	LFQ_HF.pEF_U24_GA5_01_2054	LFQ_HF.pEF_U24_GA5_01_2055	LFQ_HF.pEF_U4_GA3_01_2020	LFQ_HF.pEF_U4_GA3_01_2021	LFQ_HF.pEF_U5_GA2_01_2048	LFQ_HF.pEF_U5_GA2_01_2049	LFQ_HF.pEF_U8_GA4_01_2022	LFQ_HF.pEF_U8_GA4_01_2023	LFQ_HF.pEF_U9_GA5_01_2024	LFQ_HF.pEF_U9_GA5_01_2025	LFQ_HF.rEF_U30_GA6_01_2058	LFQ_HF.rEF_U30_GA6_01_2059	LFQ_HF.rEF_U34_GA7_01_2060	LFQ_HF.rEF_U34_GA7_01_2061	LFQ_HF.rEF_U37_GA8_01_2062	LFQ_HF.rEF_U37_GA8_01_2063	LFQ_HF.rEF_U39_GB4_01_2040	LFQ_HF.rEF_U39_GB4_01_2041	LFQ_HF.rEF_U42_GB5_01_2042	LFQ_HF.rEF_U42_GB5_01_2043	LFQ_HF.rEF_U46_GB1_01_2064	LFQ_HF.rEF_U46_GB1_01_2065	LFQ_HF.rEF_U48_GB2_01_2066	LFQ_HF.rEF_U48_GB2_01_2067	LFQ_HF.rEF_U53_GB5_01_2044	LFQ_HF.rEF_U53_GB5_01_2045	N: Peptides	N: Razor...unique.peptides	N: Unique.peptides	N: Sequence.coverage....	N: Unique...razor.sequence.coverage....	N: Unique.sequence.coverage....	N: Mol..weight..kDa.	N: Q.value	N: Score	N: Intensity	N: MS.MS.count	T: Protein.IDs	T: Majority.protein.IDs	T: Protein.names	T: Gene.names	T: id
EHD1	16.5945	15.1685	15.7145	16.5593	17.2478	16.8639	17.6516	14.4541	16.5945	16.7033	15.5857	16.1998	15.8644	14.8674	16.7813	16.2854	16.691	16.3311	16.5413	16.691	16.5945	16.7427	18.2441	18.3273	14.5202	15.9084	14.9625	16.4046	14.7724	16.5801	15.8862	17.3465	15.5071	13.9402	14.6294	15.151	17.7888	15.6731	14.5202	16.1208	16.8807	16.7891	16.5029	16.5315	16.6537	15.22	15.0585	15.6614	16.2114	16.493	15.8223	15.5071	16.3073	16.4756	6	6	6	21.9	21.9	21.9	61.927	0	15.75	13307000	26	"A0A024R571;Q9H4M9;C9J2Z4;C9JC03;C9JIJ3;C9IZH1;C9JDQ8;Q9NZN3"	"A0A024R571;Q9H4M9;C9J2Z4;C9JC03"	EH domain-containing protein 1	EHD1	1
PSMA2	16.2963	16.1998	16.4756	17.505	16.2114	15.7726	17.1112	16.8807	18.0438	18.2676	14.6986	14.6526	15.5203	16.1208	16.5413	14.9167	16.7983	17.2324	16.2743	16.6537	15.5471	15.874	16.4645	16.1998	16.0648	16.5413	14.8824	15.7726	16.3073	15.7013	16.8547	16.3611	15.9319	14.6526	16.1886	16.1657	16.5593	14.0397	16.0648	15.7856	15.9972	16.0106	16.818	16.723	16.8807	14.1884	14.6781	15.8096	15.304	17.2643	16.3073	16.2854	15.6369	15.9208	4	4	4	32.1	32.1	32.1	25.898	0.00097371	6.6712	10936000	27	"A0A024RA52;P25787;A0A7I2V2H3;H3BT36;A0A7I2YQP7;C9JCK5"	"A0A024RA52;P25787;A0A7I2V2H3;H3BT36;A0A7I2YQP7;C9JCK5"	"Proteasome subunit alpha type;Proteasome subunit alpha type-2"	PSMA2	4
IGKV3-7	22.0559	16.3834	22.3116	18.0952	15.9457	21.3983	20.6801	21.3983	21.8295	21.8451	21.7668	13.677	22.2871	22.4308	21.1394	22.1059	22.5036	21.9542	22.0164	22.0559	21.9088	22.1059	20.6801	20.5776	22.8788	15.8862	15.0029	16.4756	14.4965	13.8293	20.4557	20.7317	20.9163	20.963	14.4765	19.9311	20.6031	14.3039	16.0766	20.3382	22.7459	21.3983	20.2242	20.8591	15.6001	13.9402	20.5672	15.2544	21.6081	13.9402	15.4778	16.5801	13.677	13.5241	4	4	3	47.4	47.4	39.7	12.783	0	37.124	273610000	236	A0A075B6H7	A0A075B6H7		IGKV3-7	7
IGLV8-61	22.0378	15.5071	16.7518	15.8862	15.1089	15.3329	15.9673	14.4045	15.8862	16.5123	16.4645	16.5875	22.4308	22.3625	15.436	21.6838	16.7734	21.7867	16.0766	12.9336	21.7012	21.7012	20.1448	20.1021	21.335	21.6838	21.6233	21.3816	14.3039	21.7443	14.4765	15.5716	21.7234	21.9088	14.8674	14.9491	16.2649	14.0987	15.7726	21.5467	17.3097	21.1827	21.6081	21.8295	16.6727	16.6348	15.6001	21.8089	16.9472	16.0766	15.3179	21.6611	21.5117	21.8089	3	3	3	20.5	20.5	20.5	12.814	0.0010707	8.8183	139120000	47	A0A075B6I0	A0A075B6I0		IGLV8-61	8
IGLV2-18	13.9402	14.3039	19.1786	17.3749	14.9831	15.8352	15.9759	14.5202	17.282	15.9673	14.0024	14.7724	18.7177	18.4996	15.4645	15.2544	15.6001	15.4645	23.6774	23.7601	14.2425	14.6781	15.4074	15.3618	18.4547	18.252	20.7676	20.5672	14.0987	14.5622	18.1179	17.9333	19.71	19.5524	15.2375	14.9831	17.2403	15.1852	18.8529	18.812	19.2363	20.4557	16.5593	16.7518	15.6885	16.7144	15.6614	15.6248	17.9827	17.0858	19.1851	19.1476	14.6986	12.6513	2	2	2	24.6	24.6	24.6	12.412	0	219.05	102550000	110	A0A075B6J9	A0A075B6J9		IGLV2-18	9
IGKV2D-28	24.1656	24.1656	24.1656	24.494	20.9325	21.9088	23.0678	23.0395	23.7235	23.3565	23.3565	23.0083	24.1241	24.0865	21.0278	23.8067	24.0865	23.9824	23.4394	23.4394	24.1656	24.0865	23.1863	23.1863	24.4353	24.2819	24.2228	24.1241	23.2322	23.1863	24.3692	24.2819	25.6493	25.3372	21.4136	21.5117	23.9824	23.9299	24.5815	24.1656	25.3372	25.3372	24.3692	24.494	23.556	24.0865	24.2228	24.2819	22.1059	19.7873	23.6774	23.7601	24.2819	24.2228	3	3	1	29.2	29.2	12.5	12.957	0	116.45	1562200000	699	"A0A075B6P5;P01615"	"A0A075B6P5;P01615"	Ig kappa chain V-II region FR	IGKV2D-28	11
IGKV1-27	18.2441	18.3273	19.9126	20.0568	15.1221	14.2425	16.8547	16.4262	19.9027	17.7018	14.2425	17.2153	17.8707	18.682	15.304	16.6433	18.2128	18.3855	19.9412	19.4435	19.0768	18.893	17.8707	17.4818	20.4775	20.3823	20.7437	19.5604	18.3778	18.2903	14.3802	18.869	20.9325	21.0897	16.5029	14.3039	18.7063	16.5123	18.7783	18.7783	19.0252	19.3597	19.3689	19.3936	18.8195	18.6907	18.5067	18.3051	14.4765	18.2964	18.907	18.8609	18.907	15.3932	2	1	1	38.5	24.8	24.8	12.711	0	18.356	53228000	93	A0A075B6S5	A0A075B6S5		IGKV1-27	14
PDE4DIP	16.5123	16.3311	16.5029	17.4536	14.8492	15.5203	15.6502	15.8972	15.3932	18.1606	14.7155	13.7232	15.4507	13.1669	15.7013	15.6141	15.1221	14.8492	12.8184	13.6282	13.253	16.2743	16.3718	13.7232	15.5593	15.3179	14.9831	19.6041	15.4778	14.6063	24.5815	20.9482	19.3121	16.5029	18.2441	14.2425	14.6294	15.1685	18.4996	18.4477	18.7653	18.6283	18.154	17.6593	15.5857	19.3419	14.5861	17.6747	18.7063	16.2854	14.932	18.9806	14.1884	14.8492	3	3	3	1.8	1.8	1.8	265.1	0.0032468	4.2436	122150000	113	"Q5VU43;A0A087WX83;Q5VU43-4;A0A8Q3WM32;A0A8Q3SI83;A0A075B749;Q5VU43-3;A0A8Q3SI21;Q5VU43-7;Q5VU43-6;A0A8I5QJG6;E9PQG4;A0A8I5KTP5;F8WBJ0;A0A087X0I1;A0A8I5QKL1;F8WCI3;A0A8I5KXG0;A0A0A0MRG9;A0A8I5KXB5;A0A8I5KYJ8;E9PJK3;A0A8I5KPG9;A0A8I5KYS3;E9PJU0;A0A087WWY1;Q96SN8;F8WF55;A0A8Q3SI71;A0A087WVQ4;A0A8Q3SI11;Q5VU43-12;Q5VU43-9;Q5VU43-11;Q96SN8-4;A0A8I5KRU7;Q5VU43-10;Q5VU43-13;Q96SN8-2;Q5VU43-2;Q96SN8-3;Q5VU43-8;E9PS60;A0A087WWI2"	"Q5VU43;A0A087WX83;Q5VU43-4;A0A8Q3WM32;A0A8Q3SI83;A0A075B749;Q5VU43-3;A0A8Q3SI21;Q5VU43-7;Q5VU43-6"	Myomegalin	PDE4DIP	17
TTR	20.5776	20.779	23.0678	23.4884	22.8788	21.335	20.9163	20.2943	23.2763	23.2763	21.6611	21.5467	20.6801	20.9482	21.1539	21.2124	20.3139	20.2713	20.5582	20.4877	20.8471	20.7963	19.3033	19.3936	21.3816	21.4945	21.7668	21.9542	20.6163	21.0278	20.5465	20.2837	21.589	21.4642	21.4642	21.6081	21.9542	21.9088	20.3214	20.261	20.8471	20.6947	20.261	20.2521	22.0015	21.7443	19.2761	19.3203	19.7798	20.1766	21.3655	21.2326	19.2363	19.2525	10	10	10	88.7	88.7	88.7	12.633	0	272.44	426650000	739	"A0A087WT59;P02766"	"A0A087WT59;P02766"	Transthyretin	TTR	22
HSP90B1	16.9576	16.6537	14.3039	17.831	17.1587	16.4046	17.4292	16.1547	18.559	16.0106	16.0106	16.5509	16.418	13.6282	17.1015	16.7033	15.0184	15.9457	17.4638	16.8547	14.1593	16.1657	18.636	18.6676	15.737	16.493	16.6433	16.6648	16.5945	16.616	14.5861	16.3311	17.1112	17.1587	16.723	16.966	17.0671	16.3955	16.9819	16.8365	13.3987	16.4645	16.1321	16.2539	16.723	16.8547	17.0671	17.1587	17.8539	18.3778	16.8287	16.9995	16.8889	16.8079	7	5	5	11.5	9.6	9.6	83.013	0	10.836	22335000	19	"A0A7P0T917;A0A087WT78;A0A7P0TAE1;H0YIV0;A0A7P0T823;A0A7P0TAT8;P14625;A0A7P0TAY2;A0A7P0TBC2;Q58FF3"	"A0A7P0T917;A0A087WT78;A0A7P0TAE1;H0YIV0;A0A7P0T823;A0A7P0TAT8;P14625;A0A7P0TAY2;A0A7P0TBC2"	Endoplasmin	HSP90B1	23
